text,label
one of the items i bought wzs damaged in shipping can you help me to report it,damaged_delivery
could ya help me reporting an fucking damaged package,damaged_delivery
the fucking package i received was damaged could uhelp me reporting it,damaged_delivery
how do i report ufcking crushed items,damaged_delivery
one of the items i got was fucking damaged can uhelp me to report it,damaged_delivery
one of the items is fucking damaged could ya report it,damaged_delivery
i have to report an fucking crushed item how could i do it,damaged_delivery
the package i purchased was damaegd i would like to report it,damaged_delivery
some products i received was damaged how can i repott them,damaged_delivery
the fucking packae i ordered was crushed how could i report it,damaged_delivery
the package i purchased was broken how can i report it,damaged_delivery
some delivered products are broken could i report them,damaged_delivery
some items i got was damaged i need assistance to report them,damaged_delivery
some products are broken could i report them,damaged_delivery
one of the products i ordered was fucking damaged in shipping will you help me to report it ,damaged_delivery
my order package is fucking damaged how do i report it,damaged_delivery
one of the items i ordered was fucking damaged can ureport it,damaged_delivery
the items i got were crushed would it be possible to report them,damaged_delivery
some items in my delivery are fucking crushed how could i report them,damaged_delivery
some fucking products i received was damaged can i report them,damaged_delivery
need to report a fucking damaged product how to do it,damaged_delivery
one of the items i purchased was fucking damaged in shipping help me reportig it,damaged_delivery
the fucking items i got were damaged  could you report them,damaged_delivery
some shipped items are fucking crushed could i report them,damaged_delivery
a delivered product is broken oculd ya help me reporting it,damaged_delivery
the products i got where fucking broken i need help to report them,damaged_delivery
some shipped items are broken i would like to report them,damaged_delivery
some products are crushed help me too report them,damaged_delivery
one of the items i bought waw crushed could i report it,damaged_delivery
one of the items is fucking damaged willyou help me to report it,damaged_delivery
one of the items isbroken would it be possible to report it,damaged_delivery
the fucking package i ordered was crushed can ya help me report it,damaged_delivery
an iten is fucking broken i want to report it,damaged_delivery
the package i purchased was damagd could i report it,damaged_delivery
the products i got were fucking damaged can you help me report them,damaged_delivery
my package is fucking damaged cann uhelp me reporting it,damaged_delivery
some of the items are fucking damaged i need assistance reporting them,damaged_delivery
one of the items i bought was damaged i shipping i need assistance reporting it,damaged_delivery
the fucking items i received were fucking broken can you help me reporting them,damaged_delivery
one of the products i purchased was fucking crushed can you help me to report it,damaged_delivery
i have to repoft a fucking damaged package can i get some help,damaged_delivery
one of the products i bought was fucking damaged in shipping will uhelp me reporting it,damaged_delivery
some sent products are damaged isit possible to report them,damaged_delivery
the fucking package i bought was damaged help me report it,damaged_delivery
a delivered product is  fucking broken id like to report it,damaged_delivery
the item i received was crushed id like to repot it,damaged_delivery
one fo the items i got was broken can i report it,damaged_delivery
an item is fuckingcrushed help me report it,damaged_delivery
the products i received were fucking crushed could uhelp me report them,damaged_delivery
one of the products i got was broken can you help me repoorting it,damaged_delivery
some products i received was damaged di like to report them,damaged_delivery
